brand,original_country,index
BMW,Germany,0
Ford,USA,1
Toyota,Japan,2
Honda,Japan,3
Toyota,Japan,4
Honda,Japan,5
Honda,Japan,6
Honda,Japan,7
Toyota,Japan,8
Mitsubishi,Japan,9
Honda,Japan,10
Ford,USA,11
Mazda,Japan,12
Honda,Japan,13
Honda,Japan,14
Mazda,Japan,15
Ford,USA,16
Honda,Japan,17
Honda,Japan,18
Toyota,Japan,19
Honda,Japan,20
Honda,Japan,21
Honda,Japan,22
Toyota,Japan,23
Mazda,Japan,24
Ford,USA,25
Toyota,Japan,26
Honda,Japan,27
Ford,USA,28
Honda,Japan,29
Toyota,Japan,30
Honda,Japan,31
Mitsubishi,Japan,32
Honda,Japan,33
Toyota,Japan,34
Nissan,Japan,35
MG,China,36
MG,China,37
MG,China,38
Toyota,Japan,39
MG,China,40
Toyota,Japan,41
Toyota,Japan,42
Mazda,Japan,43
Honda,Japan,44
Honda,Japan,45
Honda,Japan,46
Honda,Japan,47
Honda,Japan,48
Honda,Japan,49
Nissan,Japan,50
Isuzu,Japan,51
Toyota,Japan,52
Mitsubishi,Japan,53
Mitsubishi,Japan,54
Honda,Japan,55
Honda,Japan,56
MG,China,57
Mazda,Japan,58
Mazda,Japan,59
Mazda,Japan,60
Honda,Japan,61
Isuzu,Japan,62
Isuzu,Japan,63
Toyota,Japan,64
Toyota,Japan,65
Ford,USA,66
Mazda,Japan,67
Honda,Japan,68
Isuzu,Japan,69
Honda,Japan,70
Nissan,Japan,71
Honda,Japan,72
Subaru,Japan,73
Honda,Japan,74
MG,China,75
Toyota,Japan,76
Honda,Japan,77
Isuzu,Japan,78
Mazda,Japan,79
Honda,Japan,80
Subaru,Japan,81
Mazda,Japan,82
BMW,Germany,83
Honda,Japan,84
Honda,Japan,85
Ford,USA,86
Isuzu,Japan,87
Honda,Japan,88
Mitsubishi,Japan,89
Honda,Japan,90
Nissan,Japan,91
Honda,Japan,92
Ford,USA,93
Honda,Japan,94
Honda,Japan,95
Honda,Japan,96
Ford,USA,97
MG,China,98
Honda,Japan,99
MG,China,100
MG,China,101
Mazda,Japan,102
Nissan,Japan,103
Toyota,Japan,104
Toyota,Japan,105
MG,China,106
MG,China,107
Ford,USA,108
MG,China,109
Toyota,Japan,110
Honda,Japan,111
Mitsubishi,Japan,112
Ford,USA,113
Mitsubishi,Japan,114
Toyota,Japan,115
Honda,Japan,116
Mazda,Japan,117
Isuzu,Japan,118
Subaru,Japan,119
Ford,USA,120
Mitsubishi,Japan,121
Subaru,Japan,122
Mazda,Japan,123
Mazda,Japan,124
Honda,Japan,125
Isuzu,Japan,126
Isuzu,Japan,127
Isuzu,Japan,128
Toyota,Japan,129
Toyota,Japan,130
Ford,USA,131
Toyota,Japan,132
Ford,USA,133
Mitsubishi,Japan,134
Honda,Japan,135
Ford,USA,136
Mazda,Japan,137
Subaru,Japan,138
Ford,USA,139
Subaru,Japan,140
Honda,Japan,141
Mitsubishi,Japan,142
Mazda,Japan,143
Honda,Japan,144
Mazda,Japan,145
Isuzu,Japan,146
Mazda,Japan,147
Honda,Japan,148
Mitsubishi,Japan,149
Mitsubishi,Japan,150
Toyota,Japan,151
Honda,Japan,152
Mitsubishi,Japan,153
Honda,Japan,154
Toyota,Japan,155
Isuzu,Japan,156
Honda,Japan,157
Subaru,Japan,158
Mazda,Japan,159
Toyota,Japan,160
Nissan,Japan,161
Toyota,Japan,162
Ford,USA,163
Mitsubishi,Japan,164
MG,China,165
Ford,USA,166
Mazda,Japan,167
Mazda,Japan,168
Mazda,Japan,169
Honda,Japan,170
Honda,Japan,171
Ford,USA,172
MG,China,173
Isuzu,Japan,174
Subaru,Japan,175
Isuzu,Japan,176
Honda,Japan,177
Mazda,Japan,178
Subaru,Japan,179
Mazda,Japan,180
Mitsubishi,Japan,181
Nissan,Japan,182
Nissan,Japan,183
Isuzu,Japan,184
Mitsubishi,Japan,185
Ford,USA,186
Honda,Japan,187
Ford,USA,188
Honda,Japan,189
Honda,Japan,190
Mazda,Japan,191
Honda,Japan,192
Mitsubishi,Japan,193
Nissan,Japan,194
Subaru,Japan,195
Honda,Japan,196
Honda,Japan,197
Honda,Japan,198
Isuzu,Japan,199
BMW,Germany,200
Mitsubishi,Japan,201
Honda,Japan,202
Mazda,Japan,203
Mazda,Japan,204
Honda,Japan,205
Nissan,Japan,206
MG,China,207
Mitsubishi,Japan,208
Subaru,Japan,209
Ford,USA,210
Nissan,Japan,211
Isuzu,Japan,212
Nissan,Japan,213
Ford,USA,214
Toyota,Japan,215
Nissan,Japan,216
Nissan,Japan,217
Ford,USA,218
Isuzu,Japan,219
Subaru,Japan,220
Ford,USA,221
MG,China,222
Toyota,Japan,223
Honda,Japan,224
Honda,Japan,225
Toyota,Japan,226
MG,China,227
MG,China,228
Honda,Japan,229
Honda,Japan,230
Isuzu,Japan,231
Nissan,Japan,232
Honda,Japan,233
Toyota,Japan,234
Ford,USA,235
Mitsubishi,Japan,236
Honda,Japan,237
Ford,USA,238
Ford,USA,239
Honda,Japan,240
Ford,USA,241
Honda,Japan,242
Mitsubishi,Japan,243
Mitsubishi,Japan,244
Ford,USA,245
Ford,USA,246
Nissan,Japan,247
Honda,Japan,248
Isuzu,Japan,249
Honda,Japan,250
Toyota,Japan,251
Toyota,Japan,252
Ford,USA,253
Ford,USA,254
Ford,USA,255
Toyota,Japan,256
Mitsubishi,Japan,257
Ford,USA,258
Honda,Japan,259
Ford,USA,260
Toyota,Japan,261
Subaru,Japan,262
Honda,Japan,263
Suzuki,,264
Nissan,Japan,265
Toyota,Japan,266
Mitsubishi,Japan,267
